"col0","col1","col2","col3"
"memo","memo",22,22
"memo","memo",22,31
"memo","memo",31,32
"110000","MAX_N",8,9
"110000","...=...",8,8
"1","pow6",25,25
"1","pow9",28,28
"n","n",20,21
"n","n",21,22
"n","n",22,22
"n","n",22,24
"n","n",24,25
"n","n",25,26
"n","n",25,28
"n","n",26,25
"n","n",28,29
"n","n",28,31
"n","n",29,28
"n","n",31,32
"n","res",24,26
"n","res",24,29
"n","res",24,31
"res","...=...",31,31
"pow6","pow6",25,26
"pow6","pow6",26,25
"pow9","pow9",28,29
"pow9","pow9",29,28
"calc(...)","ans",16,17
"min(...)","res",26,26
"min(...)","res",26,29
"min(...)","res",26,31
"min(...)","res",29,29
"min(...)","res",29,31
"min(...)","...=...",26,26
"min(...)","...=...",29,29
"nextInt(...)","n",15,16
"...*=...","pow6",25,25
"...*=...","pow9",28,28
"new Scanner(...)","sc",14,15
"new int[]","memo",9,11
"new int[]","...=...",9,9
"[summary param] -1 in toString","[summary] to write: ReturnValue in toString",0,0
"[summary param] 0 in IOException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in IOException",0,0
"[summary param] -1 in append","[summary] to write: ReturnValue in append",0,0
"[summary param] -1 in reverse","[summary] to write: ReturnValue in reverse",0,0
"[summary param] -1 in insert","[summary] to write: ReturnValue in insert",0,0
"[summary param] -1 in replace","[summary] to write: ReturnValue in replace",0,0
"[summary param] 2 in replace","[summary] to write: Argument[this].MapValue in replace",0,0
"[summary param] -1 in delete","[summary] to write: ReturnValue in delete",0,0
"[summary param] 0 in AssertionError","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in AssertionError",0,0
"[summary param] 0 in cast","[summary] to write: ReturnValue in cast",0,0
"[summary param] 1 in merge","[summary] to write: Argument[this].MapValue in merge",0,0
"[summary param] 1 in computeIfAbsent","[summary] to write: Argument[1].Parameter[this] in computeIfAbsent",0,0
"[summary param] 0 in replace","[summary] to write: Argument[this].MapKey in replace",0,0
"[summary param] 1 in replace","[summary] to write: Argument[this].MapValue in replace",0,0
"[summary param] 0 in putIfAbsent","[summary] to write: Argument[this].MapKey in putIfAbsent",0,0
"[summary param] 1 in putIfAbsent","[summary] to write: Argument[this].MapValue in putIfAbsent",0,0
"[summary param] 0 in forEach","[summary] to write: Argument[0].Parameter[this] in forEach",0,0
"[summary param] 1 in getOrDefault","[summary] to write: ReturnValue in getOrDefault",0,0
"[summary param] 0 in put","[summary] to write: Argument[this].MapKey in put",0,0
"[summary param] 1 in put","[summary] to write: Argument[this].MapValue in put",0,0
"[summary param] 0 in Exception","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in Exception",0,0
"[summary param] 1 in Exception","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in Exception",0,0
"[summary param] 0 in IllegalArgumentException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in IllegalArgumentException",0,0
"[summary param] 0 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in RuntimeException",0,0
"[summary param] 0 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in RuntimeException",0,0
"[summary param] 1 in RuntimeException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in RuntimeException",0,0
"[summary] read: Argument[this].Element in clone","[summary] to write: ReturnValue.Element in clone",0,0
"[summary] read: Argument[this].MapValue in clone","[summary] to write: ReturnValue.MapValue in clone",0,0
"[summary] read: Argument[this].MapKey in clone","[summary] to write: ReturnValue.MapKey in clone",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.message] in getMessage","[summary] to write: ReturnValue in getMessage",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.cause] in getCause","[summary] to write: ReturnValue in getCause",0,0
"[summary] read: Argument[1].ReturnValue in computeIfAbsent","[summary] to write: ReturnValue in computeIfAbsent",0,0
"[summary] read: Argument[1].ReturnValue in computeIfAbsent","[summary] to write: Argument[this].MapValue in computeIfAbsent",0,0
"[summary] read: Argument[this].MapValue in computeIfAbsent","[summary] to write: ReturnValue in computeIfAbsent",0,0
"[summary] read: Argument[this].MapValue in replace","[summary] to write: ReturnValue in replace",0,0
"[summary] read: Argument[this].MapValue in putIfAbsent","[summary] to write: ReturnValue in putIfAbsent",0,0
"[summary] read: Argument[0].Parameter[0] in forEach","[summary] to write: Argument[this].MapKey in forEach",0,0
"[summary] read: Argument[0].Parameter[0] in forEach","[summary] to write: Argument[this].Element in forEach",0,0
"[summary] read: Argument[0].Parameter[1] in forEach","[summary] to write: Argument[this].MapValue in forEach",0,0
"[summary] read: Argument[this].MapValue in forEach","[summary] to write: Argument[0].Parameter[1] in forEach",0,0
"[summary] read: Argument[this].MapKey in forEach","[summary] to write: Argument[0].Parameter[0] in forEach",0,0
"[summary] read: Argument[this].MapValue in getOrDefault","[summary] to write: ReturnValue in getOrDefault",0,0
"[summary] read: Argument[this].MapValue in entrySet","[summary] to write: ReturnValue.Element.MapValue in entrySet",0,0
"[summary] read: Argument[this].MapKey in entrySet","[summary] to write: ReturnValue.Element.MapKey in entrySet",0,0
"[summary] read: Argument[this].MapValue in values","[summary] to write: ReturnValue.Element in values",0,0
"[summary] read: Argument[this].MapKey in keySet","[summary] to write: ReturnValue.Element in keySet",0,0
"[summary] read: Argument[0].MapValue in putAll","[summary] to write: Argument[this].MapValue in putAll",0,0
"[summary] read: Argument[0].MapKey in putAll","[summary] to write: Argument[this].MapKey in putAll",0,0
"[summary] read: Argument[this].MapValue in remove","[summary] to write: ReturnValue in remove",0,0
"[summary] read: Argument[this].MapValue in put","[summary] to write: ReturnValue in put",0,0
"[summary] read: Argument[this].MapValue in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[0].MapValue in WeakHashMap","[summary] to write: Argument[this].MapValue in WeakHashMap",0,0
"[summary] read: Argument[0].MapKey in WeakHashMap","[summary] to write: Argument[this].MapKey in WeakHashMap",0,0
"[summary] read: Argument[this].Element in spliterator","[summary] to write: ReturnValue.Element in spliterator",0,0
"[summary] read: Argument[this].Element in forEach","[summary] to write: Argument[0].Parameter[0] in forEach",0,0
"[summary] read: Argument[this].Element in iterator","[summary] to write: ReturnValue.Element in iterator",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Thread.name] in getName","[summary] to write: ReturnValue in getName",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.ThreadLocal.value] in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[this].SyntheticField[java.lang.Throwable.message] in getLocalizedMessage","[summary] to write: ReturnValue in getLocalizedMessage",0,0
"[summary] read: Argument[this].MapValue in getProperty","[summary] to write: ReturnValue in getProperty",0,0
"[summary] read: Argument[this].MapValue in elements","[summary] to write: ReturnValue.Element in elements",0,0
"[summary] read: Argument[this].MapKey in keys","[summary] to write: ReturnValue.Element in keys",0,0
"[summary] read: Argument[this].Element in parallelStream","[summary] to write: ReturnValue.Element in parallelStream",0,0
"[summary] read: Argument[this].Element in stream","[summary] to write: ReturnValue.Element in stream",0,0
"[summary] read: Argument[0].Element in addAll","[summary] to write: Argument[this].Element in addAll",0,0
"[summary] read: Argument[this].Element in toArray","[summary] to write: Argument[0].ArrayElement in toArray",0,0
"[summary] read: Argument[this].Element in toArray","[summary] to write: ReturnValue.ArrayElement in toArray",0,0
"[summary] read: Argument[this].Element in subList","[summary] to write: ReturnValue.Element in subList",0,0
"[summary] read: Argument[this].Element in listIterator","[summary] to write: ReturnValue.Element in listIterator",0,0
"[summary] read: Argument[this].Element in remove","[summary] to write: ReturnValue in remove",0,0
"[summary] read: Argument[this].Element in set","[summary] to write: ReturnValue in set",0,0
"[summary] read: Argument[this].Element in get","[summary] to write: ReturnValue in get",0,0
"[summary] read: Argument[1].Element in addAll","[summary] to write: Argument[this].Element in addAll",0,0
"[summary] read: Argument[0].Element in ArrayList","[summary] to write: Argument[this].Element in ArrayList",0,0
"[summary] read: Argument[0].ArrayElement in stream","[summary] to write: ReturnValue.Element in stream",0,0
"[summary] read: Argument[0].ArrayElement in spliterator","[summary] to write: ReturnValue.Element in spliterator",0,0
"[summary] read: Argument[0].ArrayElement in asList","[summary] to write: ReturnValue.Element in asList",0,0
"[summary] read: Argument[0].ArrayElement in copyOfRange","[summary] to write: ReturnValue.ArrayElement in copyOfRange",0,0
"[summary] read: Argument[0].ArrayElement in copyOf","[summary] to write: ReturnValue.ArrayElement in copyOf",0,0
"[summary param] 0 in Thread","[summary] to write: Argument[this].SyntheticField[java.lang.Thread.name] in Thread",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].SyntheticField[java.lang.ThreadLocal.value] in set",0,0
"[summary param] 0 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.cause] in Throwable",0,0
"[summary param] 0 in Throwable","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in Throwable",0,0
"[summary param] 0 in UnsupportedOperationException","[summary] to write: Argument[this].SyntheticField[java.lang.Throwable.message] in UnsupportedOperationException",0,0
"[summary param] 0 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in add","[summary] to write: Argument[this].Element in add",0,0
"[summary param] 1 in set","[summary] to write: Argument[this].Element in set",0,0
"[summary param] 3 in fill","[summary] to write: Argument[0].ArrayElement in fill",0,0
"[summary param] 1 in fill","[summary] to write: Argument[0].ArrayElement in fill",0,0
"[summary param] 0 in setValue","[summary] to write: Argument[this].MapValue in setValue",0,0
"[summary param] 0 in forEachRemaining","[summary] to write: Argument[0].Parameter[this] in forEachRemaining",0,0
"[summary param] 0 in orElseGet","[summary] to write: Argument[0].Parameter[this] in orElseGet",0,0
"[summary param] 0 in orElse","[summary] to write: ReturnValue in orElse",0,0
"[summary param] 0 in flatMap","[summary] to write: Argument[0].Parameter[this] in flatMap",0,0
"[summary param] 0 in map","[summary] to write: Argument[0].Parameter[this] in map",0,0
"[summary param] 0 in filter","[summary] to write: Argument[0].Parameter[this] in filter",0,0
"[summary param] 0 in ifPresent","[summary] to write: Argument[0].Parameter[this] in ifPresent",0,0
"[summary param] 0 in ofNullable","[summary] to write: ReturnValue.Element in ofNullable",0,0
"[summary param] 0 in of","[summary] to write: ReturnValue.Element in of",0,0
"[summary param] 1 in getProperty","[summary] to write: ReturnValue in getProperty",0,0
"[summary param] 0 in setProperty","[summary] to write: Argument[this].MapKey in setProperty",0,0
"[summary param] 1 in setProperty","[summary] to write: Argument[this].MapValue in setProperty",0,0
"[summary param] -1 in reset","[summary] to write: ReturnValue in reset",0,0
"[summary param] -1 in skip","[summary] to write: ReturnValue in skip",0,0
"[summary param] -1 in useRadix","[summary] to write: ReturnValue in useRadix",0,0
"[summary param] -1 in useLocale","[summary] to write: ReturnValue in useLocale",0,0
"[summary param] -1 in useDelimiter","[summary] to write: ReturnValue in useDelimiter",0,0
"[summary param] 0 in addElement","[summary] to write: Argument[this].Element in addElement",0,0
"[summary param] 0 in insertElementAt","[summary] to write: Argument[this].Element in insertElementAt",0,0
"[summary param] 0 in setElementAt","[summary] to write: Argument[this].Element in setElementAt",0,0
"[summary param] 0 in push","[summary] to write: Argument[this].Element in push",0,0
"[summary param] 0 in generate","[summary] to write: Argument[0].Parameter[this] in generate",0,0
"[summary param] 0 in iterate","[summary] to write: ReturnValue.Element in iterate",0,0
"[summary param] 0 in iterate","[summary] to write: Argument[1].Parameter[0] in iterate",0,0
"[summary param] 1 in iterate","[summary] to write: Argument[1].Parameter[this] in iterate",0,0
"[summary param] 0 in noneMatch","[summary] to write: Argument[0].Parameter[this] in noneMatch",0,0
"[summary param] 0 in allMatch","[summary] to write: Argument[0].Parameter[this] in allMatch",0,0
"[summary param] 0 in anyMatch","[summary] to write: Argument[0].Parameter[this] in anyMatch",0,0
"[summary param] 0 in max","[summary] to write: Argument[0].Parameter[this] in max",0,0
"[summary param] 0 in min","[summary] to write: Argument[0].Parameter[this] in min",0,0
"[summary param] 0 in collect","[summary] to write: Argument[0].Parameter[this] in collect",0,0
"[summary param] 1 in collect","[summary] to write: Argument[1].Parameter[this] in collect",0,0
"[summary param] 2 in collect","[summary] to write: Argument[2].Parameter[this] in collect",0,0
"[summary param] 0 in reduce","[summary] to write: ReturnValue in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[0] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[1].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[2].Parameter[1] in reduce",0,0
"[summary param] 0 in reduce","[summary] to write: Argument[0].Parameter[this] in reduce",0,0
"[summary param] 1 in reduce","[summary] to write: Argument[1].Parameter[this] in reduce",0,0
"[summary param] 2 in reduce","[summary] to write: Argument[2].Parameter[this] in reduce",0,0
"[summary param] 0 in forEachOrdered","[summary] to write: Argument[0].Parameter[this] in forEachOrdered",0,0
"[summary param] 0 in peek","[summary] to write: Argument[0].Parameter[this] in peek",0,0
"[summary param] 0 in sorted","[summary] to write: Argument[0].Parameter[this] in sorted",0,0
"[summary param] 0 in flatMapToDouble","[summary] to write: Argument[0].Parameter[this] in flatMapToDouble",0,0
"[summary param] 0 in flatMapToLong","[summary] to write: Argument[0].Parameter[this] in flatMapToLong",0,0
"[summary param] 0 in flatMapToInt","[summary] to write: Argument[0].Parameter[this] in flatMapToInt",0,0
"[summary param] 0 in mapToDouble","[summary] to write: Argument[0].Parameter[this] in mapToDouble",0,0
"[summary param] 0 in mapToLong","[summary] to write: Argument[0].Parameter[this] in mapToLong",0,0
"[summary param] 0 in mapToInt","[summary] to write: Argument[0].Parameter[this] in mapToInt",0,0
"[summary] read: Argument[this].Element in nextElement","[summary] to write: ReturnValue in nextElement",0,0
"[summary] read: Argument[this].MapValue in setValue","[summary] to write: ReturnValue in setValue",0,0
"[summary] read: Argument[this].MapValue in getValue","[summary] to write: ReturnValue in getValue",0,0
"[summary] read: Argument[this].MapKey in getKey","[summary] to write: ReturnValue in getKey",0,0
"[summary] read: Argument[0].MapValue in HashMap","[summary] to write: Argument[this].MapValue in HashMap",0,0
"[summary] read: Argument[0].MapKey in HashMap","[summary] to write: Argument[this].MapKey in HashMap",0,0
"[summary] read: Argument[0].MapValue in Hashtable","[summary] to write: Argument[this].MapValue in Hashtable",0,0
